Word,Fraction of words eliminated,N
reals,0.977033004260007,181
tares,0.976915156967034,179
roles,0.976046552023624,210
tales,0.975791820019699,191
stoae,0.975375688351196,185
tears,0.974977769648696,151
stare,0.974740265788592,207
nares,0.974731220807879,199
aloes,0.974571906395046,172
lanes,0.974399282033467,180
laser,0.974279826602159,183
saner,0.974061441231843,198
rates,0.973989796640483,189
tries,0.973970531813158,182
lores,0.973909843507411,194
dares,0.973888671761913,192
sated,0.973638357624582,161
rapes,0.973348135728905,207
cares,0.972879454798783,188
riles,0.972850715768738,191
lairs,0.972803157508733,180
store,0.972463003681626,164
hares,0.97241342358902,201
nears,0.972331211449319,204
races,0.972252309276119,191
dales,0.972115685252735,200
snare,0.971721011110399,187
nates,0.971433292238081,205
raise,0.97142919179136,168
pries,0.971327786335603,182
pores,0.971202824333137,191
earls,0.971142190619741,186
saber,0.97103904722456,195
tiles,0.971026378953685,176
loser,0.970955525525791,177
solar,0.970927180437343,180
deals,0.970905435239461,193
slate,0.970739179181076,198
mores,0.970630116799996,182
bares,0.970585008639367,190
lites,0.970565388886612,178
rules,0.970455588068929,195
tires,0.970424287010745,187
rites,0.970372964820209,183
laces,0.970270974465868,180
sayer,0.970229266998418,182
rains,0.970206633982411,196
aides,0.970160549889576,154
dears,0.970150180540556,207
lodes,0.970146777835679,200
scare,0.970144719942566,203
panes,0.970060059334619,151
taels,0.970036031943274,195
taros,0.969988849479176,186
tames,0.969962336413359,205
arose,0.969955721333907,171
rials,0.969941311040398,188
stale,0.969932016243099,217
braes,0.969925186118188,199
liars,0.969861871055526,192
earns,0.969766328188504,181
reams,0.969753786524163,204
tapes,0.969665727183924,186
reads,0.969523092660143,180
canes,0.969518681191427,210
lades,0.969326400540574,182
notes,0.969307611875738,204
terns,0.969272914133518,192
arise,0.969219689562097,178
teals,0.969148357959735,186
hades,0.969143405568627,198
manes,0.969045084799633,188
napes,0.969043395567626,198
pales,0.96901992830862,176
mares,0.968996155908496,184
bores,0.968919337754208,204
cores,0.968896994962655,200
antes,0.968896815552571,213
doles,0.968822939239567,183
yores,0.968779902024276,173
dates,0.968678862346068,190
rices,0.96863005485608,186
rails,0.968602951365509,178
siren,0.96856453737479,192
lopes,0.968532587330756,190
stole,0.96849393177304,184
rages,0.9684828131936,171
elans,0.968442539416704,173
years,0.96838317313025,166
slier,0.968378185925702,171
gales,0.968365227152468,173
hates,0.968350999356732,182
tones,0.968314099298753,178
pates,0.968309342752744,167
sonar,0.968298947615099,169
kales,0.968260293521613,204
sager,0.96820974752189,182
saute,0.968147029525724,196
rents,0.968108204997432,188
aster,0.968107852564964,194
acres,0.96808994012693,177
males,0.96805832286015,170
orals,0.968013445048004,191
shoer,0.968010609458344,178
gates,0.967983782305113,167
spore,0.967974156493818,169
stela,0.967963264917323,186
leans,0.967961097133766,221
lyres,0.967921040224324,168
apers,0.967919381828752,202
rakes,0.96779481272227,190
cries,0.967784092212598,212
sorta,0.967764827262944,199
bales,0.967739700650929,173
gores,0.967738001870362,198
parse,0.967727506320307,193
lures,0.967663814436364,207
lased,0.96758824560603,217
hales,0.967558802300629,161
liers,0.967508005861315,195
roans,0.96749965648568,201
mates,0.967474379016849,184
reaps,0.967458190851786,169
tomes,0.967385750578751,171
runes,0.967377188846704,189
rides,0.967350948213825,203
least,0.967337992725482,199
sarge,0.967295800787509,187
banes,0.967283263191401,197
hears,0.967184876382376,192
topes,0.967175510120671,204
ropes,0.967124480143114,174
bates,0.967092184749408,171
roils,0.967091357272925,178
peals,0.967053502556541,211
noels,0.967046718449745,191
mires,0.966954806935802,170
acnes,0.966934345256387,195
teams,0.966927219037694,195
dotes,0.966921605973514,229
sable,0.966916086781693,181
cites,0.96684805120188,208
snore,0.966821216534609,195
tiers,0.966819116489715,179
paces,0.966766195202709,211
alter,0.966766131500368,168
caret,0.966719862775752,192
irate,0.966594752533988,207
dries,0.966585576833273,199
nerts,0.966567605171147,202
rants,0.966539961503497,197
capes,0.966510941179797,172
trues,0.966475594927913,190
ureas,0.966443925578949,181
sedan,0.966406468788662,196
caste,0.966381383901103,177
soled,0.966359479197348,184
tesla,0.966261022387068,187
poles,0.966196201909247,189
shier,0.96611545971351,191
cones,0.966094250078365,174
deans,0.966072836317756,182
aisle,0.966027299231656,167
pears,0.966005005441468,196
tines,0.965973903891937,170
sawer,0.965964086958275,181
pares,0.965945900547255,182
tails,0.965893558217767,191
slyer,0.965888272456208,181
later,0.965849895685664,186
meals,0.965849028511875,196
cotes,0.965767278482235,180
fears,0.965722580096755,188
leads,0.965689165793386,182
loges,0.965686546258209,188
raids,0.965685348176228,182
reins,0.965682687712457,193
loans,0.965662887532276,193
share,0.96558103178739,180
heals,0.965580561167342,203
maser,0.965569741184644,200
safer,0.965546191642757,174
sepal,0.965544732610912,195
meats,0.965519795367194,197
stead,0.965504909624089,187
lames,0.965490336781737,183
onset,0.965479338242931,189
loads,0.965477249479335,198
roast,0.965402790279027,176
hires,0.965365948359542,170
shear,0.965335284551089,193
doers,0.965242128916139,188
osier,0.965209691700878,205
spate,0.965194189824505,183
names,0.965185699856535,162
lines,0.96518225062836,166
liras,0.965181907035951,201
altos,0.96512034083686,182
rinse,0.965086886978172,192
lards,0.965066049314163,183
rimes,0.965063201747267,183
sabre,0.965062552766903,215
moles,0.965040363685491,198
roads,0.964994022622075,170
bries,0.964939004021859,182
nerds,0.964923251327902,190
robes,0.964838431526733,167
fares,0.964761672394802,173
anise,0.964700494817284,187
hairs,0.964697603363575,195
gears,0.964688362076418,211
meads,0.964658636916324,176
selah,0.96461285226267,210
orate,0.964577563610887,178
liens,0.964498135061108,203
sired,0.964494821101767,181
dines,0.964478026750044,184
toads,0.9644681455224,167
learn,0.964460302098953,196
goers,0.964422379836471,167
holes,0.964374456021454,187
steal,0.964361900412394,178
saver,0.964350431144479,162
lutes,0.964341395628651,164
bites,0.964325822889739,202
cages,0.964315361457634,181
peats,0.964297192495756,207
lapse,0.964295462843814,196
spare,0.964214774354447,193
tiros,0.964200104220949,180
stair,0.964174935216401,196
beats,0.964145834744046,177
baser,0.963999403372831,184
teaks,0.963876564734683,214
shale,0.963750534645995,186
nails,0.963707949742342,195
ideas,0.963694450282482,181
pairs,0.963663858645927,187
slide,0.963593234323432,192
rands,0.963581800509279,188
betas,0.963567122489251,211
bears,0.963502867876097,193
takes,0.963502303043371,145
dials,0.963439630227464,205
piers,0.96342527468445,173
aegis,0.96337419687279,179
means,0.963361536984723,152
times,0.963353567841971,151
bones,0.963324841256055,180
stone,0.963301266041521,193
lunes,0.963292324655808,184
nodes,0.963273401381173,177
salon,0.96326743308058,196
sitar,0.963222908757041,175
ogles,0.963221719968815,172
heros,0.963216277768128,216
spier,0.963198063227375,160
wares,0.963194848896655,204
aired,0.963172199572898,170
darts,0.963167833811246,187
plies,0.963133271106175,182
marts,0.963056264916983,181
sidle,0.963046304630462,198
nards,0.962979029055111,185
pines,0.962970963035764,193
socle,0.962941224870409,190
sepia,0.962922242939232,173
motes,0.962912903132418,192
noise,0.962868223926564,241
saint,0.96275721755001,209
tokes,0.962753667591039,199
ceils,0.962743410136303,181
beans,0.962725443348705,212
marls,0.962716730077082,186
tiler,0.962693760513221,193
stied,0.96262520988941,204
sware,0.962601059669643,193
lazes,0.962515966630102,181
fires,0.962494638293046,196
acmes,0.962493980252107,167
clues,0.962467659508333,190
cures,0.962451351820815,185
wires,0.962446632474881,190
oases,0.962396824477769,189
tunes,0.962375323404917,190
rouse,0.9623658331636,197
maces,0.962362557499273,193
tared,0.962350400604726,199
latus,0.962331320851383,198
fores,0.962323476929736,187
stile,0.962255086268121,158
